GO_term	count	total_in_term	gene_ratio	bg_ratio	fold_enrichment	pvalue	padj
GO:0008643	47	75	0.029746835443037974	0.015479876160990712	1.921645569620253	7.293715035256202e-8	1.357461493843598e-5
GO:0004553	34	49	0.021518987341772152	0.010113519091847266	2.1277447687935935	1.2990062142044e-7	1.357461493843598e-5
GO:0016491	123	264	0.07784810126582278	0.05448916408668731	1.428689585730725	8.15944944052421e-7	5.6844164435652005e-5
GO:0055052	39	66	0.024683544303797468	0.013622291021671827	1.8119965477560414	7.694634245616616e-6	4.0204463933346817e-4
GO:0055085	139	321	0.0879746835443038	0.06625386996904024	1.3278421862060807	2.1979341620633638e-5	9.18736479742486e-4
GO:0140359	118	268	0.07468354430379746	0.05531475748194015	1.3501558662384279	3.872732185863864e-5	0.001349001711409246
GO:0032259	24	38	0.015189873417721518	0.00784313725490196	1.9367088607594936	1.0258405304713374e-4	0.0027804740052697285
GO:0010124	8	8	0.005063291139240506	0.001651186790505676	3.066455696202532	1.2638892811006424e-4	0.0027804740052697285
GO:0006817	8	8	0.005063291139240506	0.001651186790505676	3.066455696202532	1.2638892811006424e-4	0.0027804740052697285
GO:0042626	107	245	0.06772151898734177	0.05056759545923633	1.3392275897700852	1.330370337449631e-4	0.0027804740052697285
GO:0005975	48	98	0.030379746835443037	0.02022703818369453	1.5019374838543011	4.966116162876049e-4	0.009435620709464493
GO:0070403	31	58	0.019620253164556962	0.01197110423116615	1.6389676996944567	7.793913677955371e-4	0.012075637318411362
GO:0008940	8	9	0.005063291139240506	0.0018575851393188853	2.7257383966244726	8.088943658265984e-4	0.012075637318411362
GO:0009325	8	9	0.005063291139240506	0.0018575851393188853	2.7257383966244726	8.088943658265984e-4	0.012075637318411362
GO:0042126	6	6	0.0037974683544303796	0.001238390092879257	3.0664556962025316	0.001195080241413763	0.01561073565346728
GO:0000272	6	6	0.0037974683544303796	0.001238390092879257	3.0664556962025316	0.001195080241413763	0.01561073565346728
GO:0006633	20	34	0.012658227848101266	0.007017543859649123	1.8037974683544302	0.001429143295300878	0.017570055806934326
GO:0008168	28	53	0.017721518987341773	0.010939112487100102	1.6200143300692622	0.0017488342481629486	0.02030590877033646
GO:0004497	17	28	0.010759493670886076	0.005779153766769866	1.8617766726943943	0.0020171751552722217	0.02218892670799444
GO:0004568	5	5	0.0031645569620253164	0.0010319917440660474	3.066455696202532	0.0036725005513921364	0.033371852836563326
GO:0052699	5	5	0.0031645569620253164	0.0010319917440660474	3.066455696202532	0.0036725005513921364	0.033371852836563326
GO:0010498	5	5	0.0031645569620253164	0.0010319917440660474	3.066455696202532	0.0036725005513921364	0.033371852836563326
GO:0015415	5	5	0.0031645569620253164	0.0010319917440660474	3.066455696202532	0.0036725005513921364	0.033371852836563326
GO:1904047	30	61	0.0189873417721519	0.01259029927760578	1.5080929653455073	0.005024621100554289	0.043756075417326935
