term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
GO:0006412	GO:0006412	63	68	63/2985	1.504	4.561229497077619e-09	SC_RS04090;SC_RS04770;SC_RS04775;SC_RS07700;SC_RS09500;SC_RS10005;SC_RS10010;SC_RS14865;SC_RS15035;SC_RS15040;SC_RS17745;SC_RS19245;SC_RS21545;SC_RS21675;SC_RS21685;SC_RS21690;SC_RS25350;SC_RS25420;SC_RS25425;SC_RS25440;SC_RS25445;SC_RS25475;SC_RS25480;SC_RS25665;SC_RS25670;SC_RS25675;SC_RS25680;SC_RS25685;SC_RS25690;SC_RS25695;SC_RS25700;SC_RS25705;SC_RS25710;SC_RS25715;SC_RS25720;SC_RS25725;SC_RS25730;SC_RS25735;SC_RS25740;SC_RS25745;SC_RS25750;SC_RS25755;SC_RS25760;SC_RS25765;SC_RS25790;SC_RS25795;SC_RS25800;SC_RS25810;SC_RS25830;SC_RS25835;SC_RS27715;SC_RS28235;SC_RS28975;SC_RS28985;SC_RS29680;SC_RS30035;SC_RS30070;SC_RS30175;SC_RS30195;SC_RS30345;SC_RS30360;SC_RS30890;SC_RS32995	2.2167575355797224e-06
GO:0003735	GO:0003735	57	61	57/2985	1.517	1.102950588349214e-08	SC_RS04090;SC_RS04770;SC_RS04775;SC_RS07700;SC_RS09500;SC_RS10005;SC_RS10010;SC_RS14865;SC_RS15035;SC_RS15040;SC_RS17745;SC_RS19245;SC_RS21545;SC_RS21675;SC_RS21685;SC_RS21690;SC_RS25350;SC_RS25420;SC_RS25425;SC_RS25440;SC_RS25445;SC_RS25475;SC_RS25480;SC_RS25665;SC_RS25670;SC_RS25675;SC_RS25680;SC_RS25685;SC_RS25690;SC_RS25695;SC_RS25700;SC_RS25705;SC_RS25710;SC_RS25715;SC_RS25720;SC_RS25725;SC_RS25730;SC_RS25735;SC_RS25740;SC_RS25745;SC_RS25750;SC_RS25755;SC_RS25760;SC_RS25765;SC_RS25790;SC_RS25795;SC_RS25800;SC_RS25810;SC_RS25830;SC_RS25835;SC_RS28975;SC_RS30035;SC_RS30070;SC_RS30175;SC_RS30195;SC_RS30345;SC_RS30890	2.6801699296885898e-06
GO:0008643	GO:0008643	63	75	63/2985	1.363	1.8620769347512297e-05	SC_RS02345;SC_RS02350;SC_RS03275;SC_RS03280;SC_RS03375;SC_RS03380;SC_RS03675;SC_RS03680;SC_RS04185;SC_RS04190;SC_RS04575;SC_RS04580;SC_RS04610;SC_RS04615;SC_RS05225;SC_RS05230;SC_RS06700;SC_RS06705;SC_RS07240;SC_RS07245;SC_RS07270;SC_RS07275;SC_RS08930;SC_RS09665;SC_RS09670;SC_RS11460;SC_RS11465;SC_RS11525;SC_RS11530;SC_RS13175;SC_RS13180;SC_RS14195;SC_RS14200;SC_RS15370;SC_RS15375;SC_RS16825;SC_RS17000;SC_RS17005;SC_RS29320;SC_RS29325;SC_RS30110;SC_RS30655;SC_RS32270;SC_RS32275;SC_RS32295;SC_RS33395;SC_RS33400;SC_RS35210;SC_RS35215;SC_RS37280;SC_RS37285;SC_RS37370;SC_RS37375;SC_RS38050;SC_RS38055;SC_RS39250;SC_RS39255;SC_RS39635;SC_RS39640;SC_RS39720;SC_RS39725;SC_RS39980;SC_RS39985	0.0030165646342969923
GO:0042626	GO:0042626	175	245	175/2985	1.159	0.0006183902588095724	SC_RS02340;SC_RS02345;SC_RS02570;SC_RS03275;SC_RS03285;SC_RS03375;SC_RS03670;SC_RS03675;SC_RS03780;SC_RS04180;SC_RS04185;SC_RS04375;SC_RS04385;SC_RS04390;SC_RS04395;SC_RS04400;SC_RS04405;SC_RS04575;SC_RS04610;SC_RS05220;SC_RS05225;SC_RS05460;SC_RS05465;SC_RS05470;SC_RS05475;SC_RS05975;SC_RS05980;SC_RS05985;SC_RS06020;SC_RS06705;SC_RS06710;SC_RS07110;SC_RS07115;SC_RS07240;SC_RS07275;SC_RS07280;SC_RS08800;SC_RS08805;SC_RS09300;SC_RS09670;SC_RS09675;SC_RS09800;SC_RS09805;SC_RS09810;SC_RS10110;SC_RS10115;SC_RS10550;SC_RS10610;SC_RS11015;SC_RS11055;SC_RS11440;SC_RS11465;SC_RS11520;SC_RS11525;SC_RS11680;SC_RS12075;SC_RS12080;SC_RS12085;SC_RS12090;SC_RS12340;SC_RS13175;SC_RS13180;SC_RS13385;SC_RS13390;SC_RS13560;SC_RS13650;SC_RS14135;SC_RS14140;SC_RS14145;SC_RS14200;SC_RS14580;SC_RS15370;SC_RS15450;SC_RS15695;SC_RS16575;SC_RS16750;SC_RS16995;SC_RS17000;SC_RS17080;SC_RS17085;SC_RS17905;SC_RS18290;SC_RS19390;SC_RS19395;SC_RS19400;SC_RS20470;SC_RS20885;SC_RS20895;SC_RS23970;SC_RS24190;SC_RS25505;SC_RS26310;SC_RS26315;SC_RS26590;SC_RS26595;SC_RS26845;SC_RS27340;SC_RS27710;SC_RS27720;SC_RS27725;SC_RS27735;SC_RS27740;SC_RS27755;SC_RS27760;SC_RS27810;SC_RS28470;SC_RS28475;SC_RS29090;SC_RS29325;SC_RS29425;SC_RS29430;SC_RS29435;SC_RS29440;SC_RS29450;SC_RS29565;SC_RS29570;SC_RS29580;SC_RS29585;SC_RS30445;SC_RS30485;SC_RS30505;SC_RS30650;SC_RS30780;SC_RS30785;SC_RS30795;SC_RS31110;SC_RS31115;SC_RS31125;SC_RS31595;SC_RS31860;SC_RS31865;SC_RS32270;SC_RS32295;SC_RS32805;SC_RS33400;SC_RS33405;SC_RS33540;SC_RS33725;SC_RS34050;SC_RS34325;SC_RS34460;SC_RS34465;SC_RS34470;SC_RS35030;SC_RS35035;SC_RS35205;SC_RS35210;SC_RS35415;SC_RS35970;SC_RS35975;SC_RS37265;SC_RS37285;SC_RS37365;SC_RS37370;SC_RS38055;SC_RS38060;SC_RS38120;SC_RS38125;SC_RS38130;SC_RS38135;SC_RS38295;SC_RS39245;SC_RS39255;SC_RS39640;SC_RS39645;SC_RS39720;SC_RS39925;SC_RS39930;SC_RS39975;SC_RS39980;SC_RS40025;SC_RS40575;SC_RS40590;SC_RS40635;SC_RS40640	0.07513441644536305
GO:0005840	GO:0005840	32	37	32/2985	1.404	0.0008432190694758218	SC_RS04770;SC_RS04775;SC_RS07700;SC_RS10010;SC_RS14865;SC_RS15040;SC_RS17745;SC_RS21690;SC_RS25350;SC_RS25420;SC_RS25445;SC_RS25665;SC_RS25670;SC_RS25680;SC_RS25710;SC_RS25715;SC_RS25725;SC_RS25730;SC_RS25735;SC_RS25740;SC_RS25745;SC_RS25750;SC_RS25790;SC_RS25795;SC_RS25800;SC_RS25810;SC_RS25830;SC_RS25835;SC_RS28975;SC_RS30035;SC_RS30185;SC_RS30890	0.08196089355304988
GO:0140359	GO:0140359	189	268	189/2985	1.145	0.0010800488191323725	SC_RS02340;SC_RS02345;SC_RS02570;SC_RS02575;SC_RS03275;SC_RS03285;SC_RS03375;SC_RS03670;SC_RS03675;SC_RS03780;SC_RS04180;SC_RS04185;SC_RS04375;SC_RS04385;SC_RS04390;SC_RS04395;SC_RS04400;SC_RS04405;SC_RS04575;SC_RS04610;SC_RS05220;SC_RS05225;SC_RS05455;SC_RS05460;SC_RS05465;SC_RS05470;SC_RS05475;SC_RS05705;SC_RS05975;SC_RS05980;SC_RS05985;SC_RS06020;SC_RS06705;SC_RS06710;SC_RS07110;SC_RS07115;SC_RS07240;SC_RS07275;SC_RS07280;SC_RS08800;SC_RS08805;SC_RS09300;SC_RS09670;SC_RS09675;SC_RS09800;SC_RS10110;SC_RS10115;SC_RS10550;SC_RS10610;SC_RS11015;SC_RS11055;SC_RS11440;SC_RS11465;SC_RS11520;SC_RS11525;SC_RS11675;SC_RS11680;SC_RS12070;SC_RS12075;SC_RS12080;SC_RS12085;SC_RS12090;SC_RS12340;SC_RS12345;SC_RS13175;SC_RS13180;SC_RS13385;SC_RS13390;SC_RS13555;SC_RS13560;SC_RS13650;SC_RS14135;SC_RS14140;SC_RS14145;SC_RS14200;SC_RS14580;SC_RS15370;SC_RS15450;SC_RS15695;SC_RS16575;SC_RS16750;SC_RS16995;SC_RS17000;SC_RS17080;SC_RS17085;SC_RS17905;SC_RS18230;SC_RS18235;SC_RS18290;SC_RS19390;SC_RS19395;SC_RS19400;SC_RS20470;SC_RS20885;SC_RS20895;SC_RS21920;SC_RS23970;SC_RS24155;SC_RS24190;SC_RS25080;SC_RS25505;SC_RS26310;SC_RS26315;SC_RS26590;SC_RS26595;SC_RS26845;SC_RS27340;SC_RS27710;SC_RS27720;SC_RS27725;SC_RS27735;SC_RS27740;SC_RS27755;SC_RS27760;SC_RS27810;SC_RS28470;SC_RS28475;SC_RS29090;SC_RS29140;SC_RS29145;SC_RS29325;SC_RS29425;SC_RS29430;SC_RS29435;SC_RS29440;SC_RS29445;SC_RS29450;SC_RS29565;SC_RS29570;SC_RS29580;SC_RS29585;SC_RS30445;SC_RS30485;SC_RS30505;SC_RS30650;SC_RS30780;SC_RS30785;SC_RS30795;SC_RS31110;SC_RS31115;SC_RS31125;SC_RS31595;SC_RS31860;SC_RS31865;SC_RS32270;SC_RS32285;SC_RS32295;SC_RS32805;SC_RS33400;SC_RS33405;SC_RS33540;SC_RS33725;SC_RS34050;SC_RS34325;SC_RS34460;SC_RS34465;SC_RS34470;SC_RS35030;SC_RS35035;SC_RS35205;SC_RS35210;SC_RS35415;SC_RS35970;SC_RS35975;SC_RS36270;SC_RS37265;SC_RS37285;SC_RS37365;SC_RS37370;SC_RS38055;SC_RS38060;SC_RS38120;SC_RS38125;SC_RS38130;SC_RS38135;SC_RS38295;SC_RS39245;SC_RS39255;SC_RS39640;SC_RS39645;SC_RS39720;SC_RS39925;SC_RS39975;SC_RS39980;SC_RS40025;SC_RS40575;SC_RS40590;SC_RS40635;SC_RS40640	0.08748395434972218
GO:0016757	GO:0016757	33	39	33/2985	1.373	0.0015706047112842817	SC_RS02230;SC_RS03825;SC_RS03865;SC_RS03900;SC_RS03905;SC_RS06405;SC_RS12705;SC_RS13620;SC_RS13845;SC_RS16580;SC_RS17095;SC_RS17280;SC_RS20035;SC_RS21095;SC_RS21465;SC_RS21650;SC_RS21655;SC_RS22235;SC_RS25470;SC_RS26535;SC_RS26550;SC_RS27360;SC_RS27420;SC_RS30620;SC_RS32355;SC_RS33165;SC_RS33170;SC_RS33175;SC_RS33190;SC_RS33195;SC_RS33200;SC_RS35440;SC_RS35965	0.10904484138345155
GO:0006260	GO:0006260	22	25	22/2985	1.428	0.0037303419801131546	SC_RS07855;SC_RS08865;SC_RS09350;SC_RS09505;SC_RS11165;SC_RS12360;SC_RS14870;SC_RS15620;SC_RS19760;SC_RS19840;SC_RS19850;SC_RS21525;SC_RS21535;SC_RS21700;SC_RS22460;SC_RS26150;SC_RS28310;SC_RS29655;SC_RS30280;SC_RS31265;SC_RS36405;SC_RS39810	0.22661827529187412
GO:0003723	GO:0003723	32	39	32/2985	1.332	0.004995161698952111	SC_RS02270;SC_RS09335;SC_RS09775;SC_RS10000;SC_RS10850;SC_RS12405;SC_RS14745;SC_RS14865;SC_RS15040;SC_RS15050;SC_RS16935;SC_RS21310;SC_RS21565;SC_RS21625;SC_RS22260;SC_RS22265;SC_RS25425;SC_RS25665;SC_RS25685;SC_RS25795;SC_RS25815;SC_RS28965;SC_RS30075;SC_RS30180;SC_RS30735;SC_RS30740;SC_RS30760;SC_RS30895;SC_RS30935;SC_RS31300;SC_RS38915;SC_RS39320	0.24842514945229915
GO:0003924	GO:0003924	24	28	24/2985	1.391	0.005111628589553481	SC_RS04850;SC_RS07735;SC_RS08115;SC_RS09610;SC_RS10145;SC_RS12450;SC_RS14860;SC_RS15030;SC_RS16510;SC_RS27715;SC_RS28235;SC_RS28645;SC_RS29870;SC_RS29890;SC_RS30120;SC_RS30150;SC_RS30745;SC_RS31420;SC_RS32570;SC_RS32995;SC_RS36165;SC_RS36910;SC_RS39300;SC_RS39535	0.24842514945229915
GO:0005525	GO:0005525	33	41	33/2985	1.306	0.007732081029218644	SC_RS04850;SC_RS07735;SC_RS08570;SC_RS09610;SC_RS10145;SC_RS10800;SC_RS12450;SC_RS14745;SC_RS14860;SC_RS15030;SC_RS15525;SC_RS16510;SC_RS20280;SC_RS25485;SC_RS25490;SC_RS27055;SC_RS27465;SC_RS27715;SC_RS28235;SC_RS28645;SC_RS28900;SC_RS29740;SC_RS29870;SC_RS29890;SC_RS30150;SC_RS30745;SC_RS31420;SC_RS32570;SC_RS32995;SC_RS36165;SC_RS36910;SC_RS39300;SC_RS39535	0.2962622202356995
GO:0006396	GO:0006396	10	10	10/2985	1.623	0.007834075721940673	SC_RS09775;SC_RS10000;SC_RS15050;SC_RS18605;SC_RS21310;SC_RS21625;SC_RS23365;SC_RS30075;SC_RS30895;SC_RS30935	0.2962622202356995
GO:0005737	GO:0005737	40	51	40/2985	1.273	0.007924709594782085	SC_RS04985;SC_RS09165;SC_RS09340;SC_RS09430;SC_RS09445;SC_RS09480;SC_RS09515;SC_RS09625;SC_RS09990;SC_RS11715;SC_RS11765;SC_RS12285;SC_RS12470;SC_RS12675;SC_RS13535;SC_RS14990;SC_RS15125;SC_RS16965;SC_RS17500;SC_RS18630;SC_RS19170;SC_RS19850;SC_RS20110;SC_RS21595;SC_RS23360;SC_RS26150;SC_RS26730;SC_RS27955;SC_RS29545;SC_RS30355;SC_RS30685;SC_RS30745;SC_RS30990;SC_RS31195;SC_RS32305;SC_RS33550;SC_RS34270;SC_RS35495;SC_RS36025;SC_RS36360	0.2962622202356995
GO:0015934	GO:0015934	9	9	9/2985	1.623	0.01273037304815359	SC_RS04090;SC_RS25425;SC_RS25440;SC_RS25685;SC_RS25695;SC_RS25720;SC_RS25760;SC_RS25765;SC_RS30070	0.44192580724304603
GO:0008137	GO:0008137	12	13	12/2985	1.498	0.01666148088600695	SC_RS24965;SC_RS24970;SC_RS24975;SC_RS24995;SC_RS25010;SC_RS25020;SC_RS25025;SC_RS25030;SC_RS25160;SC_RS25175;SC_RS25185;SC_RS36985	0.5068385390783482
GO:0006189	GO:0006189	8	8	8/2985	1.623	0.02068418355187065	SC_RS17410;SC_RS17415;SC_RS22530;SC_RS22535;SC_RS22570;SC_RS24185;SC_RS26225;SC_RS26230	0.5068385390783482
GO:0015986	GO:0015986	8	8	8/2985	1.623	0.02068418355187065	SC_RS29015;SC_RS29020;SC_RS29025;SC_RS29030;SC_RS29035;SC_RS29040;SC_RS29045;SC_RS29050	0.5068385390783482
GO:0006817	GO:0006817	8	8	8/2985	1.623	0.02068418355187065	SC_RS22885;SC_RS22890;SC_RS22895;SC_RS22900;SC_RS23325;SC_RS36260;SC_RS36265;SC_RS36270	0.5068385390783482
GO:0010124	GO:0010124	8	8	8/2985	1.623	0.02068418355187065	SC_RS21305;SC_RS39550;SC_RS39555;SC_RS39560;SC_RS39565;SC_RS39570;SC_RS39575;SC_RS39580	0.5068385390783482
GO:0055052	GO:0055052	49	66	49/2985	1.205	0.020857553048491694	SC_RS02340;SC_RS03285;SC_RS03670;SC_RS03780;SC_RS04160;SC_RS04180;SC_RS04375;SC_RS04385;SC_RS05220;SC_RS05455;SC_RS05970;SC_RS06710;SC_RS07280;SC_RS09300;SC_RS09675;SC_RS10110;SC_RS11440;SC_RS11520;SC_RS13385;SC_RS16995;SC_RS18290;SC_RS20470;SC_RS20655;SC_RS22885;SC_RS22890;SC_RS22895;SC_RS26585;SC_RS29425;SC_RS29430;SC_RS29435;SC_RS29440;SC_RS30445;SC_RS30505;SC_RS30795;SC_RS32285;SC_RS33405;SC_RS33725;SC_RS35205;SC_RS36265;SC_RS36270;SC_RS37265;SC_RS37365;SC_RS38060;SC_RS39245;SC_RS39645;SC_RS39975;SC_RS40575;SC_RS40635;SC_RS40640	0.5068385390783482
GO:0004315	GO:0004315	11	12	11/2985	1.488	0.02522255773369917	SC_RS04655;SC_RS08290;SC_RS13975;SC_RS13985;SC_RS18345;SC_RS18355;SC_RS27595;SC_RS28770;SC_RS31675;SC_RS31685;SC_RS35015	0.5837220504084666
GO:0004553	GO:0004553	37	49	37/2985	1.226	0.0285855149803558	SC_RS03290;SC_RS03385;SC_RS03765;SC_RS04200;SC_RS04205;SC_RS04590;SC_RS04690;SC_RS05290;SC_RS05760;SC_RS06695;SC_RS07265;SC_RS08950;SC_RS13170;SC_RS14080;SC_RS15655;SC_RS15875;SC_RS19480;SC_RS19530;SC_RS21020;SC_RS27685;SC_RS30640;SC_RS31475;SC_RS31905;SC_RS32395;SC_RS33410;SC_RS33420;SC_RS33750;SC_RS34480;SC_RS34925;SC_RS35185;SC_RS37275;SC_RS37380;SC_RS39235;SC_RS39705;SC_RS39910;SC_RS40075;SC_RS40085	0.6281197873074317
GO:0006281	GO:0006281	28	36	28/2985	1.262	0.030367819846880938	SC_RS02435;SC_RS06140;SC_RS06675;SC_RS08470;SC_RS09560;SC_RS09565;SC_RS10910;SC_RS11875;SC_RS15210;SC_RS16610;SC_RS17305;SC_RS17670;SC_RS17980;SC_RS18875;SC_RS18890;SC_RS19985;SC_RS21525;SC_RS26150;SC_RS29655;SC_RS30045;SC_RS30080;SC_RS31075;SC_RS33005;SC_RS33925;SC_RS34505;SC_RS35720;SC_RS36735;SC_RS39810	0.6281197873074317
GO:0042773	GO:0042773	7	7	7/2985	1.623	0.03360311619340169	SC_RS24995;SC_RS25015;SC_RS25020;SC_RS25025;SC_RS25030;SC_RS25180;SC_RS36985	0.6281197873074317
GO:0006364	GO:0006364	7	7	7/2985	1.623	0.03360311619340169	SC_RS09475;SC_RS14810;SC_RS17855;SC_RS30075;SC_RS30185;SC_RS30755;SC_RS30935	0.6281197873074317
GO:0015803	GO:0015803	7	7	7/2985	1.623	0.03360311619340169	SC_RS05460;SC_RS05465;SC_RS12070;SC_RS12075;SC_RS12080;SC_RS38130;SC_RS38135	0.6281197873074317
GO:0030976	GO:0030976	10	11	10/2985	1.476	0.03797136805453562	SC_RS05005;SC_RS15930;SC_RS25125;SC_RS28590;SC_RS33595;SC_RS33835;SC_RS35115;SC_RS37090;SC_RS39265;SC_RS39390	0.6590744598037254
GO:0006098	GO:0006098	10	11	10/2985	1.476	0.03797136805453562	SC_RS09295;SC_RS11715;SC_RS11720;SC_RS11725;SC_RS11730;SC_RS21530;SC_RS35475;SC_RS35485;SC_RS35490;SC_RS35495	0.6590744598037254
GO:0051287	GO:0051287	24	31	24/2985	1.257	0.04800342809267828	SC_RS02365;SC_RS03115;SC_RS03820;SC_RS03885;SC_RS08100;SC_RS11100;SC_RS11510;SC_RS11770;SC_RS11785;SC_RS12310;SC_RS14460;SC_RS15275;SC_RS16860;SC_RS19085;SC_RS20205;SC_RS24980;SC_RS26025;SC_RS29795;SC_RS30010;SC_RS31710;SC_RS37425;SC_RS39270;SC_RS39755;SC_RS41240	0.673209235717976
GO:0006633	GO:0006633	26	34	26/2985	1.241	0.050329254940313144	SC_RS04650;SC_RS04655;SC_RS04660;SC_RS08290;SC_RS08320;SC_RS11095;SC_RS11100;SC_RS13970;SC_RS13985;SC_RS18345;SC_RS18355;SC_RS18360;SC_RS20545;SC_RS24070;SC_RS25880;SC_RS27595;SC_RS27605;SC_RS28770;SC_RS29860;SC_RS31675;SC_RS31680;SC_RS31685;SC_RS31690;SC_RS33625;SC_RS33670;SC_RS35015	0.673209235717976
GO:0005886	GO:0005886	60	85	60/2985	1.146	0.052488620574200576	SC_RS02405;SC_RS03155;SC_RS03160;SC_RS03745;SC_RS03815;SC_RS05885;SC_RS06400;SC_RS07540;SC_RS08030;SC_RS08215;SC_RS08220;SC_RS08780;SC_RS08890;SC_RS08900;SC_RS08910;SC_RS09555;SC_RS09800;SC_RS09890;SC_RS11845;SC_RS11990;SC_RS12410;SC_RS13780;SC_RS14720;SC_RS15625;SC_RS16240;SC_RS16245;SC_RS16710;SC_RS17220;SC_RS17260;SC_RS17330;SC_RS17340;SC_RS17420;SC_RS17910;SC_RS18045;SC_RS20940;SC_RS20945;SC_RS21370;SC_RS21400;SC_RS21755;SC_RS21975;SC_RS22145;SC_RS22185;SC_RS22890;SC_RS22895;SC_RS23850;SC_RS24040;SC_RS24970;SC_RS25150;SC_RS25410;SC_RS26540;SC_RS26600;SC_RS26640;SC_RS28900;SC_RS29740;SC_RS31975;SC_RS33115;SC_RS36265;SC_RS38335;SC_RS38805;SC_RS40865	0.673209235717976
GO:0000272	GO:0000272	6	6	6/2985	1.623	0.05458391381667365	SC_RS04690;SC_RS07890;SC_RS11430;SC_RS16200;SC_RS30670;SC_RS33420	0.673209235717976
GO:0016765	GO:0016765	6	6	6/2985	1.623	0.05458391381667365	SC_RS06920;SC_RS14595;SC_RS21425;SC_RS24310;SC_RS26380;SC_RS26565	0.673209235717976
GO:0006012	GO:0006012	6	6	6/2985	1.623	0.05458391381667365	SC_RS17045;SC_RS17805;SC_RS17810;SC_RS17815;SC_RS30660;SC_RS39240	0.673209235717976
GO:0042126	GO:0042126	6	6	6/2985	1.623	0.05458391381667365	SC_RS03025;SC_RS03030;SC_RS26900;SC_RS26905;SC_RS34865;SC_RS34870	0.673209235717976
GO:0046933	GO:0046933	6	6	6/2985	1.623	0.05458391381667365	SC_RS29015;SC_RS29030;SC_RS29035;SC_RS29040;SC_RS29045;SC_RS29050	0.673209235717976
GO:0006400	GO:0006400	6	6	6/2985	1.623	0.05458391381667365	SC_RS22725;SC_RS23090;SC_RS28990;SC_RS31175;SC_RS31195;SC_RS39005	0.673209235717976
GO:0009116	GO:0009116	6	6	6/2985	1.623	0.05458391381667365	SC_RS09415;SC_RS09540;SC_RS18055;SC_RS22330;SC_RS27030;SC_RS38505	0.673209235717976
GO:0015935	GO:0015935	6	6	6/2985	1.623	0.05458391381667365	SC_RS09500;SC_RS25475;SC_RS25480;SC_RS25690;SC_RS25755;SC_RS30345	0.673209235717976
GO:1904047	GO:1904047	44	61	44/2985	1.171	0.05628414195315403	SC_RS03870;SC_RS04895;SC_RS05160;SC_RS06105;SC_RS06935;SC_RS08180;SC_RS08195;SC_RS08355;SC_RS08565;SC_RS09775;SC_RS10000;SC_RS10265;SC_RS10665;SC_RS11995;SC_RS12025;SC_RS12890;SC_RS13615;SC_RS15100;SC_RS15340;SC_RS18190;SC_RS18820;SC_RS20850;SC_RS21310;SC_RS21470;SC_RS24550;SC_RS24685;SC_RS25365;SC_RS26525;SC_RS27630;SC_RS27895;SC_RS28465;SC_RS28550;SC_RS30990;SC_RS31175;SC_RS31720;SC_RS31750;SC_RS34410;SC_RS36410;SC_RS37815;SC_RS39430;SC_RS40630;SC_RS40675;SC_RS40690;SC_RS41210	0.673209235717976
GO:0000105	GO:0000105	9	10	9/2985	1.461	0.0567970489840699	SC_RS09165;SC_RS12255;SC_RS12285;SC_RS12290;SC_RS12300;SC_RS12305;SC_RS12310;SC_RS21860;SC_RS28220	0.673209235717976
