term_id	term_name	count	total_in_term	gene_ratio	fold_enrichment	pvalue	genes	padj
J	Translation	21	155	21/633	1.771	0.0071334704077568095	SC_RS01765;SC_RS09340;SC_RS18700;SC_RS18790;SC_RS21625;SC_RS25490;SC_RS25685;SC_RS25745;SC_RS25750;SC_RS25760;SC_RS25765;SC_RS25785;SC_RS25830;SC_RS25835;SC_RS27715;SC_RS29675;SC_RS29680;SC_RS30035;SC_RS30350;SC_RS30760;SC_RS34350	0.13553593774737938
K	Transcription	71	822	71/633	1.129	0.1462842237056957	SC_RS01210;SC_RS01695;SC_RS02970;SC_RS03095;SC_RS03135;SC_RS03365;SC_RS03710;SC_RS04565;SC_RS06370;SC_RS06415;SC_RS06435;SC_RS07000;SC_RS07470;SC_RS07490;SC_RS07505;SC_RS08090;SC_RS08590;SC_RS09290;SC_RS09425;SC_RS10190;SC_RS10195;SC_RS10280;SC_RS11030;SC_RS13190;SC_RS13905;SC_RS13965;SC_RS14025;SC_RS14635;SC_RS15270;SC_RS16855;SC_RS17795;SC_RS17900;SC_RS18125;SC_RS18415;SC_RS18680;SC_RS18895;SC_RS19010;SC_RS19220;SC_RS21350;SC_RS21600;SC_RS21605;SC_RS21680;SC_RS21855;SC_RS22050;SC_RS22135;SC_RS22980;SC_RS25455;SC_RS25540;SC_RS25805;SC_RS25945;SC_RS26635;SC_RS26965;SC_RS27105;SC_RS27300;SC_RS29205;SC_RS29260;SC_RS29370;SC_RS30290;SC_RS31825;SC_RS32025;SC_RS33075;SC_RS35800;SC_RS37610;SC_RS37950;SC_RS37955;SC_RS38605;SC_RS40450;SC_RS40705;SC_RS40730;SC_RS40930;SC_RS41085	0.7596448931318043
C	Energy production	43	499	43/633	1.127	0.22315067359784377	SC_RS01220;SC_RS01690;SC_RS02290;SC_RS02945;SC_RS03100;SC_RS03820;SC_RS11720;SC_RS12600;SC_RS12955;SC_RS14020;SC_RS14435;SC_RS14505;SC_RS14915;SC_RS15750;SC_RS16170;SC_RS18675;SC_RS20855;SC_RS22385;SC_RS23670;SC_RS24965;SC_RS25030;SC_RS26025;SC_RS26030;SC_RS26305;SC_RS26435;SC_RS26720;SC_RS27020;SC_RS27535;SC_RS29015;SC_RS29645;SC_RS29760;SC_RS32210;SC_RS34980;SC_RS35130;SC_RS35485;SC_RS36175;SC_RS37730;SC_RS38270;SC_RS38810;SC_RS39015;SC_RS39290;SC_RS40610;SC_RS41080	0.7596448931318043
U	Secretion	14	148	14/633	1.237	0.24101682847503714	SC_RS00890;SC_RS03930;SC_RS05390;SC_RS09550;SC_RS11755;SC_RS15275;SC_RS20390;SC_RS20960;SC_RS24790;SC_RS24815;SC_RS30835;SC_RS30865;SC_RS36440;SC_RS36590	0.7596448931318043
V	Defense	13	142	13/633	1.197	0.2901228001926568	SC_RS05450;SC_RS06105;SC_RS06595;SC_RS11875;SC_RS12890;SC_RS13205;SC_RS17580;SC_RS20850;SC_RS26345;SC_RS30440;SC_RS38275;SC_RS38280;SC_RS39465	0.7596448931318043
Q	Secondary metabolism	2	15	2/633	1.743	0.3203307523312291	SC_RS15985;SC_RS15990	0.7596448931318043
S	Unknown	127	1597	127/633	1.04	0.3221655226374024	SC_RS00025;SC_RS00390;SC_RS00395;SC_RS00440;SC_RS00445;SC_RS00450;SC_RS00525;SC_RS00530;SC_RS00680;SC_RS00920;SC_RS01100;SC_RS01185;SC_RS01390;SC_RS01395;SC_RS01465;SC_RS01875;SC_RS01900;SC_RS02065;SC_RS02295;SC_RS02930;SC_RS03545;SC_RS04110;SC_RS05380;SC_RS05385;SC_RS05515;SC_RS05695;SC_RS05820;SC_RS05850;SC_RS06255;SC_RS07450;SC_RS07555;SC_RS07565;SC_RS08205;SC_RS08735;SC_RS09820;SC_RS10350;SC_RS10980;SC_RS11585;SC_RS12060;SC_RS12515;SC_RS12920;SC_RS13255;SC_RS13330;SC_RS13955;SC_RS15095;SC_RS15255;SC_RS16425;SC_RS16435;SC_RS16440;SC_RS16705;SC_RS17210;SC_RS17225;SC_RS17825;SC_RS18785;SC_RS19680;SC_RS19685;SC_RS20600;SC_RS20930;SC_RS21345;SC_RS21620;SC_RS21670;SC_RS21765;SC_RS21800;SC_RS22055;SC_RS22060;SC_RS22195;SC_RS22600;SC_RS23015;SC_RS23020;SC_RS23060;SC_RS23065;SC_RS23185;SC_RS23320;SC_RS23390;SC_RS23905;SC_RS24460;SC_RS24725;SC_RS24755;SC_RS25630;SC_RS26110;SC_RS26195;SC_RS26220;SC_RS26255;SC_RS26260;SC_RS26670;SC_RS27165;SC_RS27255;SC_RS27920;SC_RS27980;SC_RS28640;SC_RS29280;SC_RS29635;SC_RS29995;SC_RS30265;SC_RS30270;SC_RS30295;SC_RS30300;SC_RS30830;SC_RS31350;SC_RS31410;SC_RS31735;SC_RS32020;SC_RS32405;SC_RS32465;SC_RS32925;SC_RS33235;SC_RS34135;SC_RS35270;SC_RS35315;SC_RS35710;SC_RS36430;SC_RS36480;SC_RS36595;SC_RS36615;SC_RS36725;SC_RS36745;SC_RS36845;SC_RS36880;SC_RS37605;SC_RS38045;SC_RS38225;SC_RS39945;SC_RS40770;SC_RS41015;SC_RS41135;SC_RS41200;SC_RS41370	0.7596448931318043
O	Chaperones/PTM	17	195	17/633	1.14	0.32226672992484956	SC_RS05690;SC_RS06075;SC_RS11975;SC_RS12125;SC_RS16770;SC_RS16940;SC_RS18990;SC_RS19145;SC_RS21130;SC_RS21965;SC_RS22710;SC_RS22975;SC_RS24960;SC_RS28135;SC_RS28655;SC_RS31225;SC_RS34240	0.7596448931318043
P	Inorganic ion transport	40	491	40/633	1.065	0.3598317914834862	SC_RS02345;SC_RS03280;SC_RS03925;SC_RS06705;SC_RS07210;SC_RS07245;SC_RS11760;SC_RS13410;SC_RS14060;SC_RS14200;SC_RS15215;SC_RS16245;SC_RS16565;SC_RS17005;SC_RS17905;SC_RS19400;SC_RS19535;SC_RS20895;SC_RS20900;SC_RS21860;SC_RS21920;SC_RS23385;SC_RS26310;SC_RS26840;SC_RS27340;SC_RS27735;SC_RS27805;SC_RS27810;SC_RS28345;SC_RS29140;SC_RS29440;SC_RS30795;SC_RS31330;SC_RS31485;SC_RS32715;SC_RS32805;SC_RS34015;SC_RS35415;SC_RS35970;SC_RS40590	0.7596448931318043
L	Replication/Repair	12	156	12/633	1.006	0.5360214727141053	SC_RS02080;SC_RS02435;SC_RS08015;SC_RS19040;SC_RS19850;SC_RS21510;SC_RS26360;SC_RS30015;SC_RS31355;SC_RS34685;SC_RS35120;SC_RS41355	0.9548054871232473
